"Year","Age","Height","Weight","Sprint_40yd","Vertical_Jump","Bench_Press_Reps","Broad_Jump","Agility_3cone","Shuttle","BMI","Player_Type","Position_Type","Position","Drafted","Age_imp","Agility_3cone_imp","Shuttle_imp","Bench_Press_Reps_imp","Broad_Jump_imp","Vertical_Jump_imp","Sprint_40yd_imp","Id"
2014,22,1.83,94.3,4.67,87.6,16,301.09,6.99,4.26,28.2095819,"offense","backs_receivers","RB",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1184
2014,22,1.75,85.7,4.38,99.06,15,325.12,6.69,4,27.91013454,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1185
2014,23,1.85,152.9,5.47,66.04,32,223.52,7.89,4.6,44.4613339,"defense","defensive_lineman","DT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1186
2014,23,1.91,140.6,5.5,69.94,29,257.39,7.83,4.76,38.74694572,"offense","offensive_lineman","OG",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1187
2014,23,1.78,73.9,4.46,104.14,10,335.28,6.63,4.18,23.38782479,"offense","backs_receivers","WR",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1188
2014,21,1.91,114.3,4.75752095569448,84.99,22,296.82,7.16,4.35,31.49751717,"defense","line_backer","OLB",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1189
2014,24,1.88,118.4,4.91,64.77,17,289.56,7.8,4.7,33.5100731,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1190
2014,21,1.96,150.6,4.92,72.39,32,287.02,7.8,4.86,39.36905051,"offense","offensive_lineman","OT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1191
2014,20,1.73,93.9,4.5,97.79,19,320.04,7.07,4.15,31.47391933,"offense","backs_receivers","RB",1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1192
2014,23,1.73,83.5,4.55,95.25,14,314.96,7.26,4.4,27.97681718,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1193
